的	的	de	indicates possession, like adding 's to a noun	1
我	我	wǒ	I; me	1
你	你	nǐ	you (singular)	1
是	是	shì	be; is; are; am	1
了	了	le	indicates a completed or finished action	1
不	不	bù	no; not	1
在	在	zài	at; on; in; indicates an action in progress	1
他	他	tā	he; him	1
我们	我們	wǒmen	we; us	1
好	好	hǎo	good	1
有	有	yǒu	have	1
这	這	zhè	this	1
会	會	huì	know how to	1
吗	嗎	ma	indicates a yes/no question (added to a statement)	1
什么	什麼	shénme	what? (replaces the noun to turn a statement into a question)	1
说	說	shuō	speak	1
她	她	tā	she	1
想	想	xiǎng	think; believe; suppose; would like to	1
一	一	yī	one; once; a	1
很	很	hěn	very; quite	1
人	人	rén	person; man; people	1
那	那	nà	that; then	1
来	來	lái	come; arrive; ever since; next	1
都	都	dōu	all; both	1
个	個	ge	general measure word	1
能	能	néng	can; be able	1
去	去	qù	go; to leave	1
和	和	hé	and; with	1
做	做	zuò	do; make	1
上	上	shàng	above; up	1
没有	沒有	méiyǒu	not have; there is not	1
看	看	kàn	see; look at; to watch	1
怎么	怎麼	zěnme	how?	1
现在	現在	xiànzài	now	1
点	點	diǎn	a dot; a little; o'clock	1
呢	呢	ne	indicates a question; how about...?;	1
太	太	tài	too (much)	1
里	裡	lǐ	inside; Chinese mile (~.5 km)	1
听	聽	tīng	listen; hear	1
谁	誰	shéi	who	1
多	多	duō	many	1
时候	時候	shíhou	time	1
下	下	xià	fall; below	1
谢谢	謝謝	xièxie	thank you	1
先生	先生	xiānsheng	Mr.; Sir	1
喜欢	喜歡	xǐhuan	to like	1
大	大	dà, dài	big; large	1
东西	東西	dōngxi	things; stuff	1
小	小	xiǎo	small; young	1
叫	叫	jiào	to be called	1
爱	愛	ài	love	1
年	年	nián	year	1
请	請	qǐng	please; invite; to treat someone to something	1
回	回	huí	to return; to reply; to go back	1
工作	工作	gōngzuò	work; a job	1
钱	錢	qián	money; coin	1
吃	吃	chī	eat	1
开	開	kāi	to open; to start; to operate (a vehicle)	1
家	家	jiā	family; home	1
哪	哪	nǎa	which; how	1
朋友	朋友	péngyou	friend	1
妈妈	媽媽	māma	mom; mum	1
今天	今天	jīntiān	today	1
几	幾	jǐ	how many; several; a few	1
爸爸	爸爸	bàba	Dad	1
些	些	xiē	some; few; several	1
怎么样	怎麼樣	zěnmeyàng	how about?; how is/was it?	1
对不起	對不起	duìbuqǐ	sorry	1
住	住	zhù	to live; reside; to stop	1
三	三	sān	three	1
高兴	高興	gāoxìng	happy; glad	1
买	買	mǎi	to buy	1
医生	醫生	yīshēng	doctor	1
